ID,Category,Vendor,Model,Serial,Description,Modules,ETAG,Last Cal Date,Next Cal Date,IP Address,Purchase Value,Year of Purchase,check,Location,Comments,uuid,fff,bbb
68,ANALYZER,OTHER,2000,1239453,2000 MULTIMETER,,,8.8.2016,8.8.2017,,,,0,bench 17,moved to CCD,,,
69,ANALYZER,OTHER,2000,1238455,2000 MULTIMETER,,,8.8.2016,8.8.2017,,,,0,bench 17,moved to CCD,,,
70,ANALYZER,OTHER,81130A,DE38A00885,PULSE/PATTERN GENERATOR,,372805,25.6.2015,25.6.2017,,,,0,bench 17,old equipment - retire list - moved to CCD,,,
71,ANALYZER,OTHER,TDS754A,B011034,500MHz 2GS/s Oscilloscope,,271413,6.8.2013,31.10.2014,,,,0,bench 17,"Old equipment sent to Shohat, GalX ISM:1303475445",,,
72,ANALYZER,OTHER,595,535569,QUASISTATIC CV METER,,219166,,,,500,<2015,1,bench 17,old equipment - retire list,,,
73,ANALYZER,OTHER,590,534494,CV ANALYZER,,219163,,,,"5,000",<2015,1,bench 17,old equipment - retire list,,,
74,ANALYZER,OTHER,1142A,US34513868,PROBE CONTROL AND POWER MODULE,,,25.6.2015,25.6.2016,,100,<2015,1,bench 17,,,,
75,ANALYZER,OTHER,5900-301-5,536246,Capacitance standard,,,NO CAL NEEDED,NO CAL NEEDED,,,,0,,Not found,,,
76,ANALYZER,OTHER,5900-301-6,536673,Capacitance standard,,,NO CAL NEEDED,NO CAL NEEDED,,,,0,,Not found,,,
77,ANALYZER,OTHER,5900-301-7,536678,Capacitance standard,,,NO CAL NEEDED,NO CAL NEEDED,,,,0,,Not found,,,
78,ANALYZER,OTHER,5900-301-8,536685,Capacitance standard,,,NO CAL NEEDED,NO CAL NEEDED,,,,0,,Not found,,,
79,ANALYZER,OTHER,2000,1247153,2000 MULTIMETER,,,8.8.2016,8.8.2017,,,,0,bench 17,moved to CCD,,,
80,ANALYZER,OTHER,33522A,MY50000729,30 MHZ FUNCTION/ARBITARY WAVEFORE GENERATOR,,484439,8.8.2016,8.8.2017,,,,0,bench 17,Moved to CCD,,,
81,ANALYZER,OTHER,179,98860177,TRUE RMS MULTIMETER,,,30.10.2012,30.10.2013,,500,<2015,0,,Not found,,,
82,ANALYZER,OTHER,TLA715,B031884,LOGIC ANALYZER,,429328,,,,,,0,bench 17,broken and old -  Moved to CCD Lab,,,
83,ANALYZER,OTHER,CR286A,B171668,28.5 Gb\s CLOCK RECOVERY INSTRUMENT,,,15.1.16,15.1.17,,,,0,bench 17,"Moved to Chavez Cuadras, Ricardo U ISM #1304628754",,,
84,ANALYZER,,MEDUSA-4,IZMED4DP6422003,MEDUSA-4,,484430,,,,,,0,,,,,
85,ANALYZER,OTHER,E3640A,MY50460010,DC POWER SUPPLY,,,8.8.2016, 8.8.2017,,"1,200",<2015,1,bench 17,Right,,,
86,ANALYZER,OTHER,E3640A,MY40013853,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,"1,200",<2015,1,bench 17,,,,
87,ANALYZER,OTHER,CG635,1953,2.05GHz Synthesized Clock Generator,,484431,8.8.2016,8.8.2017,,"4,000",<2015,1,bench 17,,,,
88,ANALYZER,OTHER,CG635,1952,2.05GHz Synthesized Clock Generator,,484433,8.8.2016,8.8.2017,,"4,000",<2015,1,bench 17,,,,
89,ANALYZER,OTHER,CG635,2015,2.05GHz Synthesized Clock Generator,,484432,8.8.2016,8.8.2017,,"4,000",<2015,1,bench 17,,,,
90,ANALYZER,OTHER,P7313SMA,B010299,DIFFERENTIAL SMA PROBE,,484447,2009,,,"1,500",<2015,1,bench 17,,,,
91,ANALYZER,OTHER,53230A,MY50000684,Frequency counter,,484451,8.8.2016,8.8.2017,,"4,000",<2015,1,bench 17,,,,
92,ANALYZER,OTHER,6487,1115937,PICOAMMETER/VOLTAGE SOURCE,,484427,8.8.2016,8.8.2017,,"3,500",<2015,1,bench 17,repaird and calibrated 26/2/2017 - Donation for BIU,,,
93,ANALYZER,OTHER,34401A,MY41045374,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"3,000",<2015,1,bench 17,,,,
94,ANALYZER,OTHER,E3640A,MY50460021,DC POWER SUPPLY,,,8.8.2016, 8.8.2017,,"1,200",<2015,1,bench 17,,,,
95,ANALYZER,OTHER,3499A,MY42001071,SWITCH/CONTROL SYSTEM,,484443,,,,600,<2015,1,bench 17,,,,
96,ANALYZER,OTHER,DSA72004C,B110394,DIGITAL SERIAL ANALYZER,,E625094,05/08/2013,31/10/2014,,"40,000",<2015,1,bench 17,LUMA Installed,,,
97,ANALYZER,OTHER,N6731B,MY43002724,DC POWER MODULE,,,6.8.2013,6.8.2014,,,,0,bench 17,Waterfalled to FM - T&M ISM:1304002038,,,
98,ANALYZER,OTHER,N6731B,MY43002725,DC POWER MODULE,,,6.8.2013,6.8.2014,,,,0,bench 17,Waterfalled to FM - T&M ISM:1304002038,,,
99,ANALYZER,OTHER,N6731B,MY43002728,DC POWER MODULE,,,6.8.2013,6.8.2014,,,,0,bench 17,Waterfalled to FM - T&M ISM:1304002038,,,
100,ANALYZER,OTHER,N6731B,MY43002727,DC POWER MODULE,,,6.8.2013,6.8.2014,,,,0,bench 17,Waterfalled to FM - T&M ISM:1304002038,,,
101,ANALYZER,OTHER,N6700B,MY43010667,LOW PROFILE MPS MAINFRAME,,,5.8.2013,30.10.2014,,,,0,bench 17,Waterfalled to FM - T&M ISM:1304002038,,,
102,ANALYZER,OTHER,N6731B,MY43002730,DC POWER MODULE,,,6.8.2013,6.8.2014,,,,0,bench 17,Waterfalled to FM - T&M ISM:1304002038,,,
103,ANALYZER,OTHER,N6731B,MY43002721,DC POWER MODULE,,,6.8.2013,6.8.2014,,,,0,bench 17,Waterfalled to FM - T&M ISM:1304002038,,,
104,ANALYZER,OTHER,N6731B,MY43002722,DC POWER MODULE,,,6.8.2013,6.8.2014,,,,0,bench 17,Waterfalled to FM - T&M ISM:1304002038,,,
105,ANALYZER,OTHER,N6731B,MY43002731,DC POWER MODULE,,,6.8.2013,6.8.2014,,,,0,bench 17,Waterfalled to FM - T&M ISM:1304002038,,,
106,ANALYZER,OTHER,N6700B,MY43010666,LOW PROFILE MPS MAINFRAME,,,5.8.2013,30.10.2014,,,,0,bench 17,Waterfalled to FM - T&M ISM:1304002038,,,
107,ANALYZER,OTHER,6641A,MY3634A00466,DC POWER SUPPLY,,,25.6.2015,25.6.2015,,,,0,bench 17,"old equipment - retire list - sent to Shalmir, Ran JER8",,,
108,ANALYZER,OTHER,N8990C R47,MY48110127,TWIN 1x24 TERMINATED SWITCH MATRIX,,,,,,,,0,bench 17,Waterfall to K.H Malysia ISM:1304167577,,,
109,ANALYZER,OTHER,P7313SMA,B01025252,DIFFERENTIAL SMA PROBE,,484446,,,,"2,500",<2015,1,bench 17,,,,
110,ANALYZER,OTHER,SIA-4000D,3E+14,SIGNAL INTEGRITY ANALYZER,,484420,,,,,,0,,Not found - traded in a deal,,,
111,ANALYZER,OTHER,81134A,DE42800871,3.35 GHZ PULSE/PATTERN GENERATOR,,484449,8.8.2016,8.8.2017,,"25,000",<2015,1,bench 17,Calbirated until NOV/2017,,,
113,ANALYZER,OTHER,E4430B,US40050404,250KHz-1GHz ESG-D Vector Signal Generator,,,1.11.2012,1.11.2014,,"1,500",<2015,1,bench 17,Old equipment - retire list,,,
114,ANALYZER,OTHER,LCR-816,D201637,LCR-816 LCR METER,,484437,6.8.2013,31.10.2014,,"1,000",<2015,1,bench 17,old equipment - retire list,,,
115,ANALYZER,OTHER,E3640A,MY40013855,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,"1,200",<2015,1,bench 17,,,,
116,ANALYZER,OTHER,3390,1221471,50MHz Arbitrary Waveform Generator,,484440,6.8.2013,31.10.2014,,,,0,bench 17,Moved to CCD,,,
117,ANALYZER,OTHER,P7513A,B010147,TRIMODE PROBE,,483902,6.5.2009,,,"4,000",<2015,1,bench 17,,,,
118,ANALYZER,OTHER,N2803A,US52392335,20 GHZ PROBE SYSTEM,,484419,8.8.2016,8.8.2017,,"11,000",<2015,1,bench 17,,,,
119,ANALYZER,OTHER,P7520,B011158,TRIMODE PROBE,,484450,BROKEN,BROKEN,,"2,500",<2015,1,bench 17,broken ???,,,
120,ANALYZER,OTHER,P7520,B010292,TRIMODE PROBE,,483901,19.5.2009,,,"2,500",<2015,1,bench 17,,,,
121,ANALYZER,OTHER,N2803A,US52392336,20 GHZ PROBE SYSTEM,,484418,8.8.2016,8.8.2017,,"11,000",<2015,1,bench 17,,,,
122,ANALYZER,OTHER,TCA-1MEG,C020593,HIGH IMPEDANCE BUFFER AMPLIFIER,,,,,,"1,500",<2015,1,bench 17,,,,
123,ANALYZER,OTHER,TCA-1MEG,C020396,HIGH IMPEDANCE BUFFER AMPLIFIER,,,,,,"1,500",<2015,1,bench 17,,,,
124,ANALYZER,OTHER,P7380A,,DIFFERENTIAL PROBE TEKCONNECT,,484445,,,,"2,500",<2015,1,bench 17,,,,
125,ANALYZER,OTHER,,,,,,,,,,,0,bench 17,,,,
127,ANALYZER,OTHER,175,91170737,TRUE RMS MULTIMETER,,,8.8.2016,8.8.2017,,250,<2015,1,bench 17,,,,
128,ANALYZER,OTHER,179,9806018,TRUE RMS MULTIMETER,,,6.8.2013,31.10.2014,,500,<2015,0,,Not found,,,
129,ANALYZER,OTHER,77,56690047,SERIES II MULTIMETER,,,6.8.2013,6.8.2014,,250,<2015,1,bench 17,bad battery,,,
131,ANALYZER,OTHER,LCR-814,40703010021,LCR-814 LCR METER,,,8.8.2016,8.8.2017,,"2,500",<2015,1,bench 17,,,,
132,ANALYZER,OTHER,1141A,US34513080,DIFFERNTIAL PROBE,,,6.8.2013,6.8.2014,,"1,000",<2015,1,bench 17,Not found,,,
133,ANALYZER,OTHER,E2697A,MY43001107,HIGH IMPEDANCE ADAPTER,,,6.8.2013,6.8.2014,,,,0,,Not found,,,
134,ANALYZER,OTHER,E2697A,,HIGH IMPEDANCE ADAPTER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
135,ANALYZER,OTHER,E2697A,,HIGH IMPEDANCE ADAPTER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
136,ANALYZER,OTHER,1132A,,PROBE SYSTEM,,,8.8.2016,8.8.2017,,"2,000",<2015,1,bench 17,,,,
137,ANALYZER,OTHER,54701A,US34513204,ACTIVE PROBE,,,,,,,,0,,Not found,,,
138,ANALYZER,OTHER,54701A,US34513592,ACTIVE PROBE,,,,,,,,0,,Not found,,,
139,ANALYZER,OTHER,MX-PS5000,5935,SOLDERING SYSTEM,,484434,5.8.2013,31.10.2014,,,,0,bench 17,not in agreement???,,,
140,ANALYZER,OTHER,MX-PS5000,6028,SOLDERING SYSTEM,,484435,NOT IN AGREE,NOT IN AGREE,,,,0,,Not found,,,
141,ANALYZER,OTHER,HSM1001A,360,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",<2015,1,bench 17,IN CALIBRATION - KEYSGIHT  3001026467,,,
142,ANALYZER,OTHER,HSM1001A,361,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",<2015,1,bench 17,3001026467,,,
143,ANALYZER,OTHER,HSM1001A,362,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",<2015,1,bench 17,IN CALIBRATION - KEYSGIHT  3001026467,,,
144,ANALYZER,OTHER,TLA7AA4,B012392,136 CHANNEL LA MODULE,,484435,,,,,,0,bench 17,Waterfall to BA ISM:1304253661,,,
145,ANALYZER,OTHER,TLA7AC4,B010144,8GHZ TIMING,,484429,15.4.2012,,,,,0,bench 17,Waterfall to BA ISM:1304253661,,,
146,ANALYZER,OTHER,34401A,MY47057977,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"3,000",<2015,1,bench 17,marked green manually- Nirel,,,
147,ANALYZER,OTHER,34401A,MY47057733,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"3,000",<2015,1,bench 17,,,,
148,ANALYZER,OTHER,34401A,MY47057954,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"3,000",<2015,1,bench 17,,,,
149,ANALYZER,OTHER,34401A,MY47057937,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"3,000",<2015,1,bench 17,,,,
150,ANALYZER,OTHER,34401A,MY47058077,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"3,000",<2015,1,bench 17,,,,
151,ANALYZER,OTHER,335522A,MY50003778,30 MHZ FUNCTION/ARBITARY GENERATOR,,,8.8.2016,8.8.2017,,"5,000",<2015,1,bench 17,Right,,,
152,ANALYZER,OTHER,DPP125B,B240586,DPP125B BERTSCOPE,,,,,,,,0,bench 17,Traded for Anritsu Bert,,,
153,ANALYZER,OTHER,J9010,AB-321,PROGRAMMABLE NOISE GENERATOR,,E559802,,2014,10.12.215.186,"35,000",<2015,1,bench 17,sent for repair on 3.1.2014 ISM:1303105306 - Back from repair,,,
154,ANALYZER,OTHER,E5052B,MY47201594,10MHZ-7GHZ SIGNAL SOURCE ANALYZER,,E559807,8.8.2016,8.8.2017,,"75,000",<2015,1,bench 17,,,,
155,ANALYZER,OTHER,N2803A,US52932580,25GHZ PROBE SYSTEM,,,25.6.2015,25.6.2016,,"12,000",<2015,1,bench 17,not in the agreement,,,
156,ANALYZER,OTHER,N2803A,US52392348,30GHZ PROBE SYSTEM,,E559810,8.8.2016,8.8.2017,,"13,000",<2015,1,bench 17,,,,
157,ANALYZER,OTHER,N2803A,US52392345,30GHZ PROBE SYSTEM,,E559809,8.8.2016,8.8.2017,,"13,000",<2015,1,bench 17,,,,
158,ANALYZER,OTHER,N2803A,US552932528,25GHZ PROBE SYSTEM,,,25.6.2015,25.6.2016,,"12,000",<2015,1,bench 17,not in the agreement,,,
159,ANALYZER,OTHER,N4692-60003,MY52230068,10MHz-40GHz ECAL,,E559808,,2014,,"20,000",<2015,1,bench 17,Sent for calibration in Keysight 30/5/2019 ISM:1304255758,,,
160,ANALYZER,OTHER,N5224A,MY51441282,PNA NETWORK ANALYZER,,E516249,8.8.2016,8.8.2017,10.12.215.134,,,0,bench 17,Upgraded to 110GHz,,,
161,ANALYZER,OTHER,DSA-X 93304Q,MY53130103,DIGITAL SERIAL ANALYZER ,,,14.6.2016,14.6.2017,,,,0,bench 17,Waterfalled to FM ISM:1304628750,,,
162,ANALYZER,OTHER,16901A,MY53060110,LOGIC ANALYSIS SYSTEM,"2 MODULES-16962A,",E559806,8.8.2016,8.8.2017,10.12.215.222,"25,000",<2015,1,bench 17,"2 MODULES-16962A,",,,
163,ANALYZER,OTHER,N5439A,US50070976,INFINIIMAX III ZIF PROBE HEAD,,,,2014,,"6,000",<2015,1,bench 17,,,,
164,ANALYZER,OTHER,N5439A,US50070971,INFINIIMAX III ZIF PROBE HEAD,,,,2014,,"6,000",<2015,1,bench 17,,,,
165,ANALYZER,OTHER,N2836A,US52080180,INFINIIMAX III 26 GHz SOLDER-IN PROBE HEAD,,,,2014,,"7,000",<2015,1,bench 17,not in the agreement,,,
166,ANALYZER,OTHER,N2836A,US52080155,INFINIIMAX III 26 GHz SOLDER-IN PROBE HEAD,,,,2014,,"7,000",<2015,1,bench 17,not in the agreement,,,
167,ANALYZER,OTHER,2701,4018657,ETHERNET MULTUMETER/DATA ACQUISITION SYSTEM,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to CCD,,,
168,ANALYZER,OTHER,2700,4010984,MULTUMETER/DATA ACQUISITION SYSTEM,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to CCD,,,
169,ANALYZER,OTHER,3390,1373552,50MHz Arbitrary Waveform Generator,,,6.8.2013,31.10.2014,,,,0,bench 17,"Waterfalled to Hughes, Austin <austin.hughes@intel.com> ISM:1305158521",,,
170,ANALYZER,OTHER,2602B,4017455,SYSTEM SOURCEMETER,,E559814,8.8.2016,8.8.2017,,,,0,bench 17,Waterfalled for T&M request ISM:1303834549,,,
171,ANALYZER,OTHER,MDTC485-2,13000086-2,FLEX-TC,,,,2014,10.12.215.206,,,0,bench 17,Traded for a MaxTC,,,
172,ANALYZER,OTHER,MDTC485-2,13000086-1,FLEX-TC,,E559812,,2014,10.12.215.188,,,0,bench 17,moved to CCD,,,
173,ANALYZER,OTHER,DSO-X 3034A,MY53160272,Digital Storage Oscilloscope,,E625091,8.8.2016,8.8.2017,,"12,000",<2015,1,bench 17,,,,
174,ANALYZER,OTHER,MDTC485-2,13000086-3,FLEX-TC,,E559813,,2014,10.12.215.200,,,0,bench 17,moved to CCD,,,
175,ANALYZER,OTHER,MDTC485-2,13000086-4,FLEX-TC,,,,2014,10.12.215.201,,,0,bench 17,Traded for a MaxTC,,,
176,ANALYZER,OTHER,2110-240 GPIB,1407364,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,,,0,bench 17,Not found,,,
177,ANALYZER,OTHER,2110-240 GPIB,1415298,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,,,0,bench 17,Not found,,,
178,ANALYZER,OTHER,2110-240 GPIB,1415316,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
179,ANALYZER,OTHER,2110-240 GPIB,1415364,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
180,ANALYZER,OTHER,2110-240 GPIB,1415279,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
181,ANALYZER,OTHER,2110-240 GPIB,1415301,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
182,ANALYZER,OTHER,2110-240 GPIB,1415319,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
183,ANALYZER,OTHER,2110-240 GPIB,1415376,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
184,ANALYZER,OTHER,2110-240 GPIB,1415289,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
185,ANALYZER,OTHER,2110-240 GPIB,1415302,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,,,0,bench 17,Not found,,,
186,ANALYZER,OTHER,2110-240 GPIB,1415321,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
187,ANALYZER,OTHER,2110-240 GPIB,1415291,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
188,ANALYZER,OTHER,2110-240 GPIB,1415305,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,,,0,bench 17,Not found,,,
189,ANALYZER,OTHER,2110-240 GPIB,1415322,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
190,ANALYZER,OTHER,2200-30-5,1358435,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
191,ANALYZER,OTHER,2200-30-5,1358519,DC POWER SUPPLY,,,,2014,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
192,ANALYZER,OTHER,2110-240 GPIB,1407319,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"1,500",<2015,1,bench 17,,,,
193,ANALYZER,OTHER,N5183A,MY50142233,MXG ANALOG MICROWAVE SIGNAL GENERATOR,,E559805,8.8.2016,8.8.2017,10.12.215.207,"30,000",2015,1,bench 17,,,,
194,ANALYZER,OTHER,N5183A,MY50142232,MXG ANALOG MICROWAVE SIGNAL GENERATOR,,E559804,8.8.2016,8.8.2017,10.12.215.208,"30,000",2015,1,bench 17,Sent for repair ISM 1304197891 20/3/19,,,
195,ANALYZER,OTHER,2200-30-5,9060086,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
196,ANALYZER,OTHER,2200-30-5,1358793,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
197,ANALYZER,OTHER,2200-30-5,9060090,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,"1,800",<2015,1,bench 17,,,,
198,ANALYZER,OTHER,2200-30-5,9060085,DC POWER SUPPLY,,,26.6.2013,2014,,"1,800",<2015,1,bench 17,,,,
199,ANALYZER,OTHER,2200-30-5,9060083,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
200,ANALYZER,OTHER,2200-30-5,9060084,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
201,ANALYZER,OTHER,2200-30-5,9060082,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,"1,800",<2015,1,bench 17,,,,
202,ANALYZER,OTHER,2200-30-5,9060091,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
203,ANALYZER,OTHER,2200-30-5,9060089,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
204,ANALYZER,OTHER,2200-30-5,9060093,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,,,0,bench 17,Moved to Guy Greenwald CCD,,,
